종목코드,종목명
A090710,휴림로봇
A090850,현대이지웰
A091120,이엠텍
A091340,S&K폴리텍
A091440,한울소재과학
A091580,상신이디피
A091590,남화토건
A091700,파트론
A091810,티웨이항공
A091970,나노캠텍
A092040,아미코젠
A092070,디엔에프
A092130,이크레더블
A092190,서울바이오시스
A092200,디아이씨
A092220,KEC
A092230,KPX홀딩스
A092300,현우산업
A092440,기신정기
A092460,한라IMS
A092590,럭스피아
A092600,앤씨앤
A092730,네오팜
A092780,DYP
A092790,넥스틸
A092870,엑시콘
A093050,LF
A093190,빅솔론
A093240,형지엘리트
A093320,케이아이엔엑스
A093370,후성
A093380,풍강
A093510,엔지브이아이
A093520,매커스
A093640,케이알엠
A093920,서원인텍
A094170,동운아나텍
A094360,칩스앤미디어
A094480,갤럭시아머니트리
A094800,맵스리얼티
A094820,일진파워
A094840,슈프리마에이치큐
A094850,참좋은여행
A094860,네오리진
A094940,푸른기술
A094970,제이엠티
A095190,이엠코리아
A095270,웨이브일렉트로
A095340,ISC
A095500,미래나노텍
A095570,AJ네트웍스
A095610,테스
A095660,네오위즈
A095700,제넥신
A095720,웅진씽크빅
A095910,에스에너지
A096240,크레버스
A096250,와이즈넛
A096350,대창솔루션
A096530,씨젠
A096610,알에프세미
